OldIO,NewIO,NIOBase,NIOType,ChunkedNIO,SingleWriteNIO,DirectNIO,S100MiB,S1MiB,INCompressor,Verifier,ITracing,Tracing,TracingLevel,Severe,Finest,Statistics,PERF
0,1,1,1,1,0,0,1,0,1,0,1,1,1,1,0,1,2960
0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,5274
1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,3512
1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,5241
0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,5314
0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,3058
0,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,16401
1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3314
0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,5510
0,1,1,1,1,0,0,1,0,0,0,1,1,1,1,0,1,3155
0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,5295
1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,5328
0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,3216
0,1,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1,4915
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3451
0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,3143
0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,5062
0,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,1,5090
0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,3299
0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,16442
1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,5338
0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,3232
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3138
0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,3341
0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,1,0,14594
1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,14905
0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,1,1,14694
0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,0,5465
0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,3428
0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,3263
0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,5515
0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,5449
0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,14785
0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,5502
0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,5316
0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0,3171
1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,3269
0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,3412
1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,5309
0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,5044
0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,14656
1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,5304
1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,3153
0,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,16531
0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,5328
0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,5048
0,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,16440
0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,3457
0,1,1,1,0,1,0,1,0,1,0,1,1,1,0,1,0,4759
0,1,1,1,0,1,0,0,1,1,0,1,1,1,1,0,0,5230
0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,0,4898
0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,5263
0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,4957
0,1,1,1,0,1,0,1,0,0,0,1,1,1,1,0,0,3165
0,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,1,16446
0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,5432
1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,5220
1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,4714
0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,3127
0,1,1,1,1,0,0,1,0,1,0,1,1,1,1,0,0,3157
0,1,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,2986
0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,0,3154
0,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,14727
1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,14562
0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,5463
0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,5467
0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,4920
0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,16392
0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,5508
0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,0,5390
0,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,5356
0,1,1,1,0,1,0,1,0,0,0,1,1,1,0,1,0,4705
0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,1,5387
0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,1,0,14653
0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,3258
0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,5419
0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,3249
0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,3532
0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,3347
0,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,0,5233
1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,5228
0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1,5342
0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,5420
0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,16448
0,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,4897
0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,1,3185
0,1,1,1,1,0,0,1,0,1,0,1,1,1,0,1,0,4698
1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,14761
0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,5339
0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,3605
