Solver,SeqSOR,CGSolver,BiCGSTABSolver,LoopSolver,SeqGS,GradientSolver,Precon,cells,post,pre,performance
1,1,1,0,0,0,0,1,51,2,2,10092.39036
1,1,1,0,0,0,0,1,51,4,3,10066.10643
1,1,0,0,1,0,0,1,51,3,5,7671.019286
1,0,0,1,0,1,0,1,55,0,3,15946.32143
1,1,0,0,1,0,0,1,54,5,2,11266.48571
1,0,1,0,0,1,0,1,52,4,5,9793.9225
1,1,0,0,1,0,0,1,53,0,6,13583.10357
1,0,0,0,1,1,0,1,53,3,3,9846.766071
1,1,0,0,0,0,1,1,50,1,5,9673.2875
1,0,0,0,1,1,0,1,51,4,1,9074.508571
1,1,1,0,0,0,0,1,51,5,5,7498.959643
1,1,0,0,1,0,0,1,50,6,6,9718.527857
1,1,1,0,0,0,0,1,55,6,3,11739.84286
1,1,0,0,1,0,0,1,52,2,4,10505.22857
1,0,0,0,0,1,1,1,55,2,2,10675.03571
1,1,0,0,0,0,1,1,55,0,2,14612.61071
1,0,1,0,0,1,0,1,54,2,5,10688.99643
1,0,0,0,0,1,1,1,53,3,3,10056.92643
1,0,0,0,1,1,0,1,50,4,2,6640.879643
1,1,0,1,0,0,0,1,51,3,1,10031.13107
1,1,0,0,1,0,0,1,53,1,4,13502.42857
1,1,0,0,0,0,1,1,53,0,3,13464.81429
1,1,0,1,0,0,0,1,51,2,4,10013.37679
1,0,1,0,0,1,0,1,51,5,0,9079.328214
1,1,0,1,0,0,0,1,55,2,4,11664.92143
1,1,0,0,0,0,1,1,53,4,4,8079.076786
1,0,1,0,0,1,0,1,55,2,3,10614.51786
1,1,0,0,0,0,1,1,54,6,5,8396.121786
1,1,0,0,0,0,1,1,54,2,5,11207.80714
1,1,0,1,0,0,0,1,50,6,4,7299.777143
1,0,0,0,0,1,1,1,50,1,1,11102.32143
1,1,0,0,0,0,1,1,55,1,0,23227.74643
1,0,0,0,0,1,1,1,53,4,4,7559.093929
1,1,0,0,0,0,1,1,54,1,0,22407.63214
1,1,0,0,1,0,0,1,50,4,5,9646.541071
1,0,0,0,1,1,0,1,54,3,4,10458.83214
1,1,0,0,0,0,1,1,50,5,3,7257.724643
1,0,0,0,0,1,1,1,54,0,4,12952.23929
1,1,1,0,0,0,0,1,55,2,6,11611.91786
1,1,1,0,0,0,0,1,52,3,1,10548.29286
1,0,0,0,0,1,1,1,53,4,0,10060.5725
1,1,1,0,0,0,0,1,55,0,6,17397.25
1,1,0,0,0,0,1,1,51,5,4,7576.131786
1,1,1,0,0,0,0,1,50,6,0,7207.1775
1,0,0,1,0,1,0,1,52,3,1,9607.337857
1,1,0,1,0,0,0,1,50,6,1,7237.837143
1,0,1,0,0,1,0,1,51,3,5,9152.130714
1,0,0,0,1,1,0,1,52,5,3,7360.898214
1,1,1,0,0,0,0,1,51,4,0,10047.115
1,0,0,1,0,1,0,1,53,2,6,10031.41143
1,0,0,1,0,1,0,1,54,3,0,10420.02857
1,1,1,0,0,0,0,1,52,4,4,10436.44643
1,0,0,0,1,1,0,1,50,5,6,8781.767143
1,1,0,0,1,0,0,1,52,4,3,7921.049643
1,1,1,0,0,0,0,1,53,6,3,10913.05
1,0,0,0,1,1,0,1,55,4,1,10585.66429
1,1,1,0,0,0,0,1,51,3,1,10021.59464
1,1,0,0,0,0,1,1,51,1,4,9958.1825
1,1,1,0,0,0,0,1,50,1,0,24028.20357
1,1,0,0,1,0,0,1,52,3,4,10441.875
1,1,1,0,0,0,0,1,52,1,0,28690.68571
1,0,0,0,1,1,0,1,54,6,5,10189.24643
1,0,0,0,0,1,1,1,52,5,6,7278.923571
1,1,0,0,1,0,0,1,54,6,6,11429.35
1,1,1,0,0,0,0,1,50,3,6,9710.789643
1,0,0,0,0,1,1,1,50,0,6,8754.275714
1,0,0,0,0,1,1,1,50,1,2,8756.160714
1,1,0,0,0,0,1,1,51,1,3,9957.022143
1,0,1,0,0,1,0,1,55,0,5,15853.075
1,0,0,0,1,1,0,1,52,3,1,7312.147857
1,0,0,0,1,1,0,1,51,4,6,6893.9875
1,0,0,1,0,1,0,1,55,5,6,10762.83214
1,0,0,0,1,1,0,1,50,5,3,8855.005714
1,1,0,0,1,0,0,1,50,1,4,12126.27857
1,1,0,0,1,0,0,1,55,6,3,11625.24286
1,0,0,0,0,1,1,1,50,0,2,11103.57857
1,0,0,0,1,1,0,1,50,2,2,6601.925714
1,1,0,1,0,0,0,1,55,5,1,11674.55357
1,0,0,1,0,1,0,1,50,5,1,6694.724643
1,0,1,0,0,1,0,1,51,4,6,6828.976429
1,0,1,0,0,1,0,1,54,3,4,10333.67143
1,1,1,0,0,0,0,1,53,3,1,10828.94643
1,1,0,0,1,0,0,1,53,0,2,13628.31786
1,1,1,0,0,0,0,1,52,5,6,7818.513571
1,0,0,1,0,1,0,1,52,3,5,9552.986786
1,1,0,0,0,0,1,1,50,2,3,9823.213214
1,1,0,1,0,0,0,1,51,5,4,7526.2075
1,1,0,0,1,0,0,1,55,2,6,11628.68214
1,0,0,1,0,1,0,1,55,1,2,13420.35357
1,0,0,0,0,1,1,1,53,6,2,7792.3425
1,1,0,0,0,0,1,1,53,5,0,10788.81071
1,0,1,0,0,1,0,1,50,2,6,8862.7725
1,1,0,0,0,0,1,1,52,3,3,10447.16071
1,0,0,0,0,1,1,1,53,5,5,7459.024286
1,0,0,1,0,1,0,1,51,1,0,18348.80357
1,1,0,0,0,0,1,1,55,2,2,11595.46071
1,1,0,1,0,0,0,1,50,5,6,7258.036429
1,0,0,1,0,1,0,1,51,2,5,9309.809286
1,1,1,0,0,0,0,1,52,0,4,15937.08571
1,1,0,0,1,0,0,1,55,4,0,11708.31786
1,1,0,0,0,0,1,1,55,5,1,11643.77143
1,0,0,1,0,1,0,1,51,2,4,9246.806429
1,1,0,0,1,0,0,1,54,6,0,11502.83571
1,1,0,1,0,0,0,1,54,2,6,11469.575
1,1,0,1,0,0,0,1,53,3,1,10832.3
1,1,0,0,0,0,1,1,54,4,0,11245.51429
1,0,0,0,0,1,1,1,51,2,3,9112.441071
1,1,1,0,0,0,0,1,55,6,0,11588.275
1,1,0,0,1,0,0,1,55,1,1,14515.2
1,0,0,0,1,1,0,1,55,6,4,10620.84643
1,0,0,1,0,1,0,1,53,6,3,9980.670357
1,0,0,0,0,1,1,1,53,3,2,9893.181071
1,0,0,1,0,1,0,1,54,1,6,10344.975
1,1,1,0,0,0,0,1,51,2,6,9973.781786
1,1,0,0,0,0,1,1,53,1,3,10791.52143
1,1,1,0,0,0,0,1,54,6,5,11361.99286
1,1,0,1,0,0,0,1,52,1,4,10420.68571
1,0,1,0,0,1,0,1,53,3,4,10018.72071
1,0,0,0,0,1,1,1,54,1,2,10224.23929
1,1,1,0,0,0,0,1,50,4,4,9680.549286
1,0,1,0,0,1,0,1,54,3,3,10308.77857
1,1,0,0,0,0,1,1,55,1,4,11714.88929
1,1,0,1,0,0,0,1,54,2,2,11407.96786
1,0,1,0,0,1,0,1,52,6,5,7479.9975
1,0,0,0,1,1,0,1,55,6,6,10677.15357
1,0,1,0,0,1,0,1,54,5,5,10569.71429
1,0,0,0,1,1,0,1,54,5,2,10363.61429
1,0,0,1,0,1,0,1,52,3,0,9813.0375
1,0,0,0,1,1,0,1,50,4,3,8753.69
1,0,1,0,0,1,0,1,54,1,5,12881.475
1,1,0,1,0,0,0,1,50,6,5,7341.613571
1,0,0,1,0,1,0,1,55,2,1,13486.08214
1,0,0,0,1,1,0,1,52,5,1,7261.473571
1,0,1,0,0,1,0,1,52,3,1,9613.4125
1,0,0,0,0,1,1,1,51,4,5,6861.115
1,0,1,0,0,1,0,1,54,2,3,10333.8
1,1,1,0,0,0,0,1,55,6,5,11631.43571
1,1,0,0,0,0,1,1,50,0,3,12071.20714
1,1,0,0,0,0,1,1,54,5,5,8447.814286
1,1,0,0,1,0,0,1,55,6,1,11675.80714
1,0,0,0,0,1,1,1,51,1,6,9146.467857
1,0,1,0,0,1,0,1,53,3,2,9874.487143
1,0,0,0,0,1,1,1,54,5,4,7788.993571
1,1,0,0,0,0,1,1,51,3,0,10004.07643
1,0,0,0,0,1,1,1,53,6,4,7731.515357
1,0,0,0,1,1,0,1,54,6,6,10245.36786
1,1,0,0,1,0,0,1,54,3,1,11259.08929
1,1,0,1,0,0,0,1,53,5,2,10793.62143
1,0,0,0,1,1,0,1,50,0,2,8801.738571
1,0,0,0,0,1,1,1,50,5,0,8800.893929
1,0,1,0,0,1,0,1,52,5,1,9877.670357
1,1,1,0,0,0,0,1,54,0,6,16868.75
1,0,0,0,0,1,1,1,52,1,2,9844.833571
1,0,1,0,0,1,0,1,52,0,4,14619.52857
1,1,0,0,0,0,1,1,50,2,4,9590.872143
1,0,1,0,0,1,0,1,51,1,5,9092.014286
1,0,0,0,0,1,1,1,55,0,2,13293.58214
1,1,0,0,1,0,0,1,50,6,1,7290.916786
1,1,0,0,0,0,1,1,52,1,6,10448.025
1,1,0,1,0,0,0,1,54,1,3,11272.53571
1,1,0,0,1,0,0,1,50,1,6,7241.799286
1,1,0,1,0,0,0,1,53,0,2,13505.30357
1,0,0,0,0,1,1,1,54,6,0,7885.636786
1,0,1,0,0,1,0,1,54,0,2,17965.475
1,1,1,0,0,0,0,1,53,2,4,10791.77143
1,1,0,1,0,0,0,1,52,0,2,13061.23214
1,1,0,0,1,0,0,1,50,3,6,9618.2225
1,1,0,0,0,0,1,1,50,5,5,7252.8275
1,1,1,0,0,0,0,1,53,4,3,10804.22857
1,0,0,0,1,1,0,1,50,1,4,8878.743571
1,0,0,0,1,1,0,1,54,3,5,10259.325
1,1,0,0,0,0,1,1,51,1,2,10059.7175
1,1,1,0,0,0,0,1,52,0,2,18277.61071
1,1,0,0,1,0,0,1,52,1,6,10514.90357
1,0,0,0,0,1,1,1,55,4,0,10586.73929
1,0,0,0,1,1,0,1,52,1,3,12004.70714
1,0,0,0,0,1,1,1,52,2,6,9900.191429
1,1,1,0,0,0,0,1,54,4,5,11211.18571
1,1,0,1,0,0,0,1,53,2,4,10804.34643
1,1,0,0,1,0,0,1,50,3,3,9660.786071
1,1,0,1,0,0,0,1,54,5,5,11186.68571
1,0,1,0,0,1,0,1,50,2,4,8980.808571
1,0,0,0,0,1,1,1,54,1,3,10237.56071
1,1,0,0,0,0,1,1,55,4,6,8734.177857
1,0,0,0,1,1,0,1,54,0,5,12737.975
1,0,0,0,0,1,1,1,52,4,0,9705.612143
1,1,0,1,0,0,0,1,51,0,2,12513.11429
1,1,1,0,0,0,0,1,53,6,6,10846.55357
1,1,0,1,0,0,0,1,53,5,3,10800.98929
1,0,0,0,0,1,1,1,53,2,3,10159.3925
1,0,1,0,0,1,0,1,54,4,5,10387.19286
1,0,1,0,0,1,0,1,55,6,4,10568.04286
1,0,0,0,1,1,0,1,55,0,2,10947.9
1,0,0,0,1,1,0,1,54,2,1,10203.98929
1,1,0,1,0,0,0,1,50,4,4,9735.156429
1,0,1,0,0,1,0,1,55,0,3,18560.59643
1,0,0,0,1,1,0,1,54,3,6,10280.82143
1,0,0,1,0,1,0,1,54,3,4,10407.35714
1,1,0,0,1,0,0,1,51,5,5,7550.776429
1,0,0,0,0,1,1,1,53,3,1,10194.26393
1,1,1,0,0,0,0,1,50,3,3,9744.465714
1,1,1,0,0,0,0,1,52,1,6,10412.60357
1,0,1,0,0,1,0,1,55,5,4,10702.64286
1,1,1,0,0,0,0,1,53,4,2,10891.38929
1,0,0,0,0,1,1,1,52,2,1,9637.192143
1,0,0,1,0,1,0,1,52,0,6,11923.13929
1,0,0,0,1,1,0,1,53,4,6,9833.401071
1,1,0,0,0,0,1,1,54,1,3,11188.79643
1,1,0,0,1,0,0,1,54,4,3,11306.50357
1,0,0,0,0,1,1,1,50,2,4,8883.6975
1,0,0,0,0,1,1,1,50,3,4,8891.388929
1,0,0,0,1,1,0,1,53,4,0,10124.99357
1,1,1,0,0,0,0,1,54,1,4,14046.17857
1,1,0,0,0,0,1,1,55,4,3,8751.441429
1,0,1,0,0,1,0,1,55,3,2,10554.38214
1,1,0,0,0,0,1,1,55,2,0,11644.09643
1,0,1,0,0,1,0,1,53,5,3,10071.76321
1,0,0,0,0,1,1,1,54,4,6,7773.2525
1,1,0,1,0,0,0,1,53,2,2,10833.47857
1,0,0,1,0,1,0,1,55,6,1,10730.37143
1,1,0,0,1,0,0,1,50,6,2,7263.305357
1,0,1,0,0,1,0,1,50,6,4,6767.398929
1,0,0,0,0,1,1,1,52,3,4,9750.368571
1,0,1,0,0,1,0,1,54,5,4,10475.32857
1,0,0,1,0,1,0,1,54,5,2,10488.20357
1,1,0,0,0,0,1,1,54,5,4,8441.657143
1,1,0,1,0,0,0,1,55,3,6,11694.54643
1,0,0,0,1,1,0,1,50,5,5,8827.153214
1,0,1,0,0,1,0,1,55,5,2,10630.53214
1,0,0,0,0,1,1,1,52,0,2,12435.09286
1,1,1,0,0,0,0,1,50,0,5,14545.1
1,0,0,1,0,1,0,1,50,3,4,9269.5275
1,1,0,1,0,0,0,1,55,0,3,17558.58571
1,1,0,0,0,0,1,1,50,2,2,9605.033214
1,0,0,1,0,1,0,1,53,3,4,9903.713929
1,0,0,0,1,1,0,1,52,5,0,7260.075
1,0,0,0,1,1,0,1,54,6,3,10194.51429
1,1,0,0,1,0,0,1,54,2,3,11287.93214
1,0,0,0,0,1,1,1,53,5,0,10493.67679
1,1,1,0,0,0,0,1,53,0,4,16231.98214
1,1,0,0,1,0,0,1,51,4,5,7622.658571
1,1,0,0,0,0,1,1,52,3,5,7818.290714
1,0,0,0,1,1,0,1,52,5,4,7286.390357
1,1,1,0,0,0,0,1,51,1,0,25017.96786
1,1,0,0,1,0,0,1,53,1,6,10809.75714
1,0,0,0,1,1,0,1,50,3,3,8788.804286
1,1,1,0,0,0,0,1,54,0,3,16923.76786
1,1,0,0,0,0,1,1,54,6,4,8381.460357
1,1,1,0,0,0,0,1,52,5,1,10581.48929
1,1,0,1,0,0,0,1,50,5,3,7367.228571
1,1,1,0,0,0,0,1,51,6,1,7673.936786
1,1,0,0,1,0,0,1,50,6,4,9709.593214
1,1,0,1,0,0,0,1,52,1,2,10521.675
1,0,0,0,1,1,0,1,54,1,3,12747.03571
1,0,0,0,1,1,0,1,55,6,3,10629.84286
1,1,0,1,0,0,0,1,55,0,2,14499.85
1,0,0,0,0,1,1,1,51,2,0,9083.299643
1,1,0,0,0,0,1,1,53,1,5,10868.42143
1,1,1,0,0,0,0,1,54,4,3,11205.12143
1,0,0,0,0,1,1,1,54,3,0,10184.95357
1,1,0,0,0,0,1,1,51,5,2,7605.792143
1,0,1,0,0,1,0,1,52,4,3,9846.498929
1,0,1,0,0,1,0,1,53,5,5,9982.607857
1,1,0,1,0,0,0,1,53,2,5,10824.60714
1,1,0,1,0,0,0,1,50,3,6,9798.097857
1,0,0,0,0,1,1,1,55,2,1,10670.17857
1,0,0,1,0,1,0,1,52,0,5,11938.55357
1,1,0,0,0,0,1,1,55,2,3,11663.28214
1,0,0,0,0,1,1,1,53,0,6,12432.01786
1,0,1,0,0,1,0,1,53,5,1,9876.677857
1,0,0,1,0,1,0,1,51,1,3,9353.554643
1,0,1,0,0,1,0,1,51,5,1,9112.8925
1,1,0,0,0,0,1,1,54,2,1,11194.79643
1,1,0,1,0,0,0,1,50,0,3,12006.51071
1,1,1,0,0,0,0,1,52,4,1,10400.26071
1,0,0,0,0,1,1,1,53,2,4,10161.55571
1,1,1,0,0,0,0,1,51,4,6,7596.398214
1,1,1,0,0,0,0,1,54,1,1,14082.55
1,1,0,0,1,0,0,1,55,4,6,11735.69286
1,0,1,0,0,1,0,1,52,5,6,7365.070357
1,0,0,0,0,1,1,1,52,2,2,9690.220714
1,0,0,1,0,1,0,1,55,1,4,10657.68571
1,1,0,1,0,0,0,1,52,6,2,7841.623214
1,0,1,0,0,1,0,1,54,0,1,48364.63571
1,1,0,0,0,0,1,1,54,6,1,8441.936429
1,0,0,1,0,1,0,1,50,3,6,8820.959286
1,0,0,0,0,1,1,1,54,5,1,10380.525
1,0,0,0,1,1,0,1,53,2,6,9901.13
1,1,0,0,1,0,0,1,53,2,1,8322.647857
1,1,0,1,0,0,0,1,52,5,4,10418.55714
1,1,0,0,0,0,1,1,51,0,6,10026.57107
1,1,0,0,1,0,0,1,51,1,6,7668.067143
1,1,0,0,0,0,1,1,51,1,5,10032.17893
1,1,1,0,0,0,0,1,50,5,5,7214.219286
1,0,0,0,1,1,0,1,55,2,2,10596.33571
1,0,1,0,0,1,0,1,53,1,6,12628.97143
1,0,0,0,0,1,1,1,50,2,0,8760.0275
1,0,0,1,0,1,0,1,55,5,4,10730.63214
1,1,1,0,0,0,0,1,55,0,3,20278.825
1,1,1,0,0,0,0,1,51,3,5,10247.77679
1,1,0,1,0,0,0,1,50,2,0,9609.776786
1,0,0,1,0,1,0,1,55,4,6,10744.38929
1,1,0,1,0,0,0,1,54,0,2,16810.97143
1,0,0,1,0,1,0,1,54,4,2,10351.81429
1,0,0,1,0,1,0,1,55,5,2,10725.03571
1,0,0,0,0,1,1,1,54,4,5,7739.757857
1,0,0,1,0,1,0,1,55,6,0,10638.05714
1,0,0,0,1,1,0,1,55,1,2,13218.49643
1,1,0,0,0,0,1,1,55,1,6,11738.76429
1,1,0,1,0,0,0,1,50,5,5,7237.580714
1,0,0,1,0,1,0,1,50,2,5,8812.811429
1,1,1,0,0,0,0,1,52,6,3,7823.797143
1,1,0,0,0,0,1,1,50,4,6,7338.861429
1,1,0,1,0,0,0,1,52,3,6,10452.7
1,0,1,0,0,1,0,1,55,5,0,10588.75357
1,0,0,0,0,1,1,1,50,6,0,6634.9125
1,0,0,0,1,1,0,1,55,5,0,10659.275
1,0,0,0,0,1,1,1,50,6,5,6700.596071
1,0,1,0,0,1,0,1,52,2,2,9848.327143
1,1,0,1,0,0,0,1,50,3,1,9622.930357
1,1,0,1,0,0,0,1,50,3,3,9634.402143
1,1,0,1,0,0,0,1,55,2,5,11720.23929
1,1,0,1,0,0,0,1,51,4,5,7718.941429
1,0,0,0,0,1,1,1,52,5,5,7290.246429
1,0,1,0,0,1,0,1,50,5,3,6646.764643
1,0,0,1,0,1,0,1,52,0,3,11980.72857
1,1,0,1,0,0,0,1,52,1,0,18411.05714
1,1,0,0,0,0,1,1,55,3,5,11717.73571
1,0,1,0,0,1,0,1,53,1,4,12724.93571
1,1,0,0,1,0,0,1,54,4,4,11250.26429
1,1,0,1,0,0,0,1,54,0,6,14099.29286
1,0,0,0,0,1,1,1,52,2,5,9847.275357
1,0,0,0,0,1,1,1,55,1,0,21243.01429
1,1,0,0,1,0,0,1,52,2,6,10516.39286
1,0,0,0,0,1,1,1,51,1,0,18248.78571
1,0,0,0,1,1,0,1,51,4,0,6884.062143
1,1,0,0,0,0,1,1,52,6,1,7874.146786
1,1,1,0,0,0,0,1,51,4,4,10059.36929
1,0,0,0,0,1,1,1,55,4,6,7917.301071
1,1,0,1,0,0,0,1,51,2,0,10058.47
1,1,0,0,1,0,0,1,50,3,2,7452.555
1,1,0,0,1,0,0,1,53,5,1,10800.26429
1,0,1,0,0,1,0,1,50,2,1,8919.204643
1,1,0,0,1,0,0,1,51,6,4,7745.358929
1,0,1,0,0,1,0,1,52,5,3,9979.301071
1,1,1,0,0,0,0,1,53,5,1,10805.81429
1,1,0,1,0,0,0,1,50,3,0,9692.283571
1,0,0,0,0,1,1,1,54,1,1,12796.30357
1,1,0,0,0,0,1,1,50,4,4,7236.550357
1,0,1,0,0,1,0,1,53,0,1,41979.33214
1,0,1,0,0,1,0,1,52,4,4,9814.731071
1,0,1,0,0,1,0,1,53,4,1,10081.95643
1,0,1,0,0,1,0,1,52,2,1,9583.359643
1,1,1,0,0,0,0,1,54,5,6,11262.07857
1,1,0,1,0,0,0,1,52,5,0,10446.60357
1,1,0,0,0,0,1,1,52,1,4,10455.38214
1,0,1,0,0,1,0,1,55,1,4,13243.40714
1,0,1,0,0,1,0,1,52,3,5,9751.861071
1,0,0,0,0,1,1,1,50,1,6,8905.152857
1,0,0,0,1,1,0,1,51,1,2,9262.19
1,1,1,0,0,0,0,1,53,5,2,10812.17857
1,0,0,0,1,1,0,1,54,1,5,10216.56786
1,1,0,0,1,0,0,1,50,5,5,9633.6125
1,0,0,0,1,1,0,1,54,0,3,12829.96429
1,1,1,0,0,0,0,1,54,1,6,14082.46071
1,0,0,0,1,1,0,1,53,0,2,9857.774643
1,1,0,0,1,0,0,1,53,0,4,13566.06786
1,1,0,0,0,0,1,1,53,4,1,10854.52857
1,0,0,0,0,1,1,1,50,4,3,6788.521429
1,1,1,0,0,0,0,1,55,2,5,11924.73571
1,0,0,0,1,1,0,1,52,2,6,7494.632857
1,0,0,0,1,1,0,1,53,5,0,9893.648929
1,1,0,0,1,0,0,1,55,3,6,11673.53214
1,1,0,0,0,0,1,1,53,5,1,8215.606429
1,0,0,0,0,1,1,1,52,4,3,7265.464643
1,0,0,1,0,1,0,1,55,0,6,13298.95
1,0,0,0,0,1,1,1,50,1,5,8745.277143
1,1,1,0,0,0,0,1,51,4,5,10042.55607
1,0,0,1,0,1,0,1,52,5,0,9608.800357
1,0,0,1,0,1,0,1,54,3,1,10364.75714
1,0,1,0,0,1,0,1,54,3,5,10394.61786
1,0,0,1,0,1,0,1,54,1,0,23035.35357
