no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead_20,rc_lookahead_40,rc_lookahead_60,ref_1,ref_5,ref_9,PERF
0,0,0,0,1,1,0,0,1,0,0,0,1,580.877
0,0,1,0,0,0,0,0,1,0,0,1,0,446.633
1,0,1,1,0,1,1,1,0,0,0,0,1,613.397
0,1,0,1,1,1,0,0,1,0,1,0,0,299.75
0,0,1,1,0,1,0,1,0,0,1,0,0,275.69
0,1,0,0,1,1,1,0,1,0,0,1,0,428.073
1,0,1,0,1,0,1,1,0,0,1,0,0,286.397
1,0,0,0,0,0,0,1,0,0,0,1,0,423.077
0,1,0,1,1,1,1,1,0,0,1,0,0,299.843
1,1,0,1,0,1,0,1,0,0,0,0,1,609.33
0,1,1,1,0,0,1,0,1,0,0,1,0,508.623
1,0,1,0,0,0,1,0,0,1,0,0,1,590.837
1,1,1,0,0,1,1,0,0,1,0,0,1,492.427
0,0,0,1,0,1,0,1,0,0,0,1,0,447.423
1,1,0,1,0,0,0,0,0,1,0,0,1,706.247
0,0,0,0,1,1,0,1,0,0,0,1,0,433.223
0,0,1,0,1,0,1,1,0,0,0,0,1,726.51
1,1,0,1,1,1,1,1,0,0,0,0,1,645.377
0,1,0,1,1,1,0,1,0,0,0,0,1,666.553
0,1,1,1,1,0,0,0,1,0,0,1,0,564.2
1,1,1,1,0,1,1,0,0,1,0,0,1,609.697
1,1,0,1,1,0,0,0,0,1,1,0,0,279.84
1,0,1,0,0,1,0,1,0,0,1,0,0,254.11
1,0,0,0,0,1,0,0,1,0,0,1,0,369.81
1,0,1,0,0,1,1,0,1,0,1,0,0,256.32
0,0,0,1,0,1,1,0,0,1,0,1,0,450.13
0,0,1,1,1,1,0,0,1,0,1,0,0,310.25
0,0,0,0,1,1,0,0,1,0,0,1,0,433.223
1,0,0,1,0,0,0,0,0,1,0,0,1,713.577
1,1,0,0,1,0,1,0,1,0,0,0,1,680.477
1,1,0,1,0,0,1,0,1,0,0,1,0,486.57
1,0,1,0,0,0,0,1,0,0,0,1,0,425.063
0,1,0,0,0,1,1,1,0,0,0,0,1,506.88
0,0,1,0,0,0,1,0,0,1,0,1,0,447.647
1,1,0,1,0,1,0,0,1,0,0,1,0,428.413
1,1,0,0,0,1,1,1,0,0,1,0,0,244.333
0,0,1,1,1,1,1,0,1,0,0,1,0,482.04
1,0,1,0,1,0,0,1,0,0,0,0,1,690.59
1,1,0,1,0,0,1,1,0,0,1,0,0,249.64
0,1,1,0,0,1,0,1,0,0,0,0,1,506.36
1,0,1,1,1,0,1,0,1,0,0,0,1,783.777
0,1,1,1,0,0,0,1,0,0,1,0,0,266.19
0,0,0,0,0,0,1,0,1,0,1,0,0,270.707
1,0,1,1,1,1,1,1,0,0,0,0,1,651.203
0,0,0,0,1,1,0,0,0,1,0,1,0,433.223
0,1,0,1,0,1,0,1,0,0,1,0,0,266.67
0,0,1,0,1,0,1,0,1,0,0,1,0,521.607
1,1,0,1,0,1,0,0,1,0,1,0,0,251.823
1,1,1,1,1,1,1,1,0,0,0,1,0,455.493
0,1,0,0,1,0,0,0,0,1,0,0,1,712.87
1,1,1,1,0,0,0,0,1,0,0,1,0,487.373
0,0,0,0,1,0,0,0,0,1,0,1,0,519.413
1,0,0,1,0,1,0,0,1,0,1,0,0,263.207
1,1,0,1,1,0,0,0,0,1,0,0,1,773.437
0,0,0,1,1,0,1,1,0,0,0,1,0,571.35
0,1,0,1,0,1,0,0,0,1,0,0,1,629.337
1,1,0,0,1,0,0,0,0,1,0,0,1,680.563
1,0,0,0,1,1,0,0,1,0,1,0,0,287.21
0,1,1,1,0,1,0,1,0,0,0,1,0,442.81
1,0,0,1,0,1,1,0,0,1,1,0,0,264.33
1,1,1,1,0,0,0,0,0,1,1,0,0,252.827
0,0,0,1,1,0,1,0,0,1,1,0,0,310.687
1,0,1,0,0,0,0,0,0,1,0,0,1,590.55
0,1,1,1,1,0,1,0,0,1,0,0,1,809.53
1,0,0,0,0,1,0,1,0,0,0,1,0,367.963
0,1,1,1,1,1,0,0,0,1,0,0,1,665.2
0,0,0,0,1,1,1,0,0,1,0,0,1,580.607
1,0,1,1,0,0,1,0,1,0,0,1,0,494.267
0,0,1,1,1,1,0,0,1,0,0,0,1,671.697
1,1,0,1,0,1,1,0,1,0,1,0,0,251.86
0,0,1,0,1,1,1,0,0,1,1,0,0,305.103
0,0,0,0,0,0,0,0,1,0,1,0,0,270.657
0,0,1,0,1,1,1,0,0,1,0,0,1,580.41
0,1,1,0,1,0,0,0,0,1,0,0,1,715.827
1,1,0,1,1,1,0,0,1,0,0,1,0,456.707
1,1,0,1,1,1,1,0,1,0,0,0,1,645.303
1,1,1,0,1,0,1,0,1,0,1,0,0,275.453
0,0,1,0,1,0,1,0,0,1,0,0,1,726.6
1,1,0,0,0,0,0,0,0,1,0,0,1,581.813
0,1,1,0,1,0,1,1,0,0,0,0,1,715.923
0,1,1,0,1,1,0,1,0,0,0,0,1,575.863
0,1,1,1,0,1,1,0,0,1,0,1,0,445.213
0,0,1,1,1,0,0,0,1,0,1,0,0,310.287
1,0,0,0,0,0,0,0,1,0,0,1,0,425.15
1,1,1,1,1,0,0,0,1,0,0,1,0,537.143
1,0,1,1,0,0,1,0,1,0,1,0,0,262.61
1,0,1,0,0,0,1,0,0,1,1,0,0,257.45
0,1,1,1,0,1,0,0,1,0,0,1,0,444.607
0,0,1,0,0,0,0,0,0,1,1,0,0,271.337
1,0,0,1,1,0,1,0,0,1,1,0,0,291.53
1,1,0,0,1,0,0,0,1,0,0,1,0,485.477
0,1,1,1,0,0,0,0,0,1,0,0,1,734.21
0,1,1,0,1,1,0,0,0,1,1,0,0,295.413
0,0,0,1,0,1,0,1,0,0,0,0,1,631.043
0,1,0,1,0,0,1,0,0,1,0,1,0,508.547
1,1,1,1,1,1,1,0,0,1,1,0,0,279.247
1,1,1,1,0,1,1,1,0,0,1,0,0,249.41
1,0,1,0,0,0,1,0,1,0,0,1,0,426.75
0,1,0,0,0,1,0,1,0,0,0,1,0,378.417
0,1,0,1,1,1,0,0,0,1,0,1,0,476.863
0,1,1,0,0,0,1,1,0,0,0,0,1,604.917
1,0,0,1,1,1,1,1,0,0,0,1,0,463.363
0,0,0,1,0,1,0,0,1,0,0,0,1,632.127
1,0,0,1,0,1,0,1,0,0,0,1,0,432.143
0,0,1,0,1,1,1,0,1,0,0,0,1,580.577
1,0,0,0,1,1,0,1,0,0,0,0,1,561.927
1,1,0,1,1,0,1,0,1,0,1,0,0,279.89
0,1,0,1,1,1,0,0,0,1,1,0,0,299.89
0,1,1,1,1,0,1,1,0,0,0,1,0,564.063
1,0,0,1,0,1,0,1,0,0,1,0,0,261.203
0,1,1,0,1,0,0,0,0,1,1,0,0,295.353
0,1,1,1,0,0,0,0,0,1,0,1,0,510.21
0,0,0,0,0,0,1,0,0,1,0,0,1,613.517
0,0,1,0,1,1,0,1,0,0,0,0,1,580.543
0,0,1,0,0,0,1,0,1,0,1,0,0,270.153
1,1,0,1,0,0,0,0,1,0,0,0,1,705.397
0,0,1,1,1,1,1,0,0,1,0,1,0,482.08
0,1,1,0,1,1,1,0,1,0,0,1,0,427.477
1,1,0,1,0,0,1,1,0,0,0,0,1,703.5
1,0,1,0,1,1,0,0,0,1,0,1,0,414.243
1,0,0,1,0,1,1,1,0,0,1,0,0,261.207
1,0,1,0,1,0,1,0,1,0,0,0,1,690.217
0,0,0,0,1,0,1,0,0,1,1,0,0,305.5
1,0,0,1,0,1,0,0,1,0,0,0,1,616.687
1,1,0,1,1,1,1,0,1,0,0,1,0,456.363
0,1,1,0,1,0,1,1,0,0,0,1,0,512.87
1,1,0,0,0,1,0,0,1,0,0,1,0,364.76
1,1,1,1,1,0,0,0,0,1,1,0,0,279.223
1,1,1,1,0,0,1,0,0,1,0,0,1,707.493
1,1,1,0,1,1,0,0,0,1,1,0,0,275.39
0,0,1,1,0,0,0,1,0,0,0,1,0,516.22
0,0,0,1,0,0,0,0,1,0,1,0,0,278.197
1,1,0,0,0,0,1,1,0,0,1,0,0,244.303
0,1,0,1,0,1,1,0,0,1,0,1,0,446.63
1,0,0,1,1,1,0,0,0,1,0,1,0,463.31
1,1,1,0,1,0,1,1,0,0,0,0,1,683.42
1,1,1,0,0,0,1,1,0,0,0,1,0,417.633
1,0,1,0,0,1,1,0,1,0,0,1,0,368.63
1,0,1,1,0,1,1,0,0,1,0,0,1,616.133
1,1,1,1,1,1,0,1,0,0,0,1,0,455.64
1,1,1,0,1,0,0,1,0,0,0,1,0,487.09
1,1,1,1,1,0,0,0,0,1,0,1,0,537.113
0,1,0,0,1,0,1,0,1,0,0,1,0,511.343
0,0,0,1,1,1,1,1,0,0,0,0,1,672.137
1,0,0,1,0,1,1,0,1,0,1,0,0,263.073
1,0,0,0,0,0,1,0,0,1,0,0,1,588.2
0,0,1,1,0,0,0,0,1,0,1,0,0,277.813
1,0,0,0,0,0,1,1,0,0,0,0,1,584.82
1,1,0,0,0,1,0,1,0,0,0,1,0,362.627
1,1,1,1,1,1,0,0,0,1,0,1,0,455.72
1,0,1,1,0,0,0,0,0,1,1,0,0,263.91
0,0,0,0,0,0,0,0,1,0,0,1,0,444.6
1,1,0,1,0,1,1,1,0,0,0,0,1,608.997
1,0,1,0,1,0,1,1,0,0,0,0,1,690.463
0,0,1,1,1,1,0,0,0,1,0,0,1,671.747
0,1,0,1,1,1,1,1,0,0,0,1,0,476.937
1,0,0,0,1,1,0,0,0,1,0,0,1,561.847
0,0,0,0,1,1,1,1,0,0,0,0,1,580.73
1,0,1,1,0,1,0,1,0,0,0,0,1,613.763
0,1,0,0,1,0,0,1,0,0,0,0,1,712.743
1,1,1,0,0,0,0,0,0,1,1,0,0,247.483
1,0,0,0,1,1,1,0,0,1,0,0,1,561.97
0,0,0,0,1,0,1,1,0,0,0,0,1,721.757
1,1,1,0,1,1,0,0,0,1,0,0,1,555.633
0,0,0,1,0,1,0,0,0,1,1,0,0,279.533
0,0,1,1,1,0,1,0,0,1,0,1,0,573.24
0,0,0,1,1,0,1,0,1,0,0,0,1,817.34
1,0,1,1,1,0,0,0,0,1,0,1,0,544.823
0,0,1,1,0,0,1,0,0,1,0,0,1,745.443
0,1,0,1,0,1,1,0,0,1,1,0,0,270.063
1,1,1,0,1,0,1,1,0,0,1,0,0,275.433
1,0,1,1,0,0,1,0,0,1,0,0,1,715.583
1,1,0,0,1,0,0,0,0,1,0,1,0,485.59
1,1,0,0,0,1,1,1,0,0,0,1,0,362.613
0,1,1,1,0,1,1,0,0,1,1,0,0,269.493
1,1,1,0,1,0,1,0,0,1,1,0,0,275.427
1,1,0,1,0,1,0,1,0,0,1,0,0,249.73
0,1,1,0,0,1,0,0,1,0,0,1,0,379.457
1,0,1,0,1,1,1,0,0,1,0,0,1,561.333
0,1,0,0,0,1,1,0,0,1,0,1,0,381.213
0,0,1,0,0,1,1,0,0,1,0,0,1,510.89
0,0,0,1,0,0,0,0,1,0,0,1,0,515.543
1,0,1,1,1,1,0,0,0,1,0,1,0,462.74
0,1,1,0,1,1,0,1,0,0,0,1,0,427.66
1,1,0,0,0,0,0,1,0,0,0,1,0,416.887
1,0,1,1,0,0,1,1,0,0,0,0,1,713.39
1,1,1,0,1,1,0,0,1,0,0,0,1,555.613
1,0,0,1,1,0,1,0,1,0,0,0,1,780.757
1,1,0,1,1,0,1,1,0,0,0,1,0,535.697
1,1,0,1,0,1,1,0,1,0,0,1,0,428.16
1,0,0,1,1,1,1,1,0,0,1,0,0,291.61
0,1,1,0,0,0,0,0,1,0,0,0,1,607.537
0,1,0,1,0,0,0,0,1,0,1,0,0,268.787
0,0,1,1,0,0,1,0,1,0,0,0,1,744.26
1,1,0,1,1,0,1,0,1,0,0,0,1,773.22
1,0,1,0,1,1,1,0,1,0,0,1,0,413.88
1,1,1,0,0,0,1,0,0,1,1,0,0,247.517
1,1,1,0,0,1,0,0,1,0,1,0,0,246.273
0,0,0,0,0,0,0,1,0,0,1,0,0,268.72
0,1,1,1,0,0,0,0,1,0,1,0,0,268.397
1,1,1,1,0,1,0,1,0,0,1,0,0,249.44
1,1,0,1,0,1,0,0,0,1,0,0,1,611.6
0,0,1,0,0,0,1,1,0,0,0,1,0,444.52
0,0,0,1,1,1,1,0,1,0,0,1,0,482.613
0,1,0,1,0,0,0,1,0,0,0,0,1,730.01
0,1,1,1,1,0,0,1,0,0,1,0,0,299.637
0,1,0,1,1,0,1,1,0,0,0,1,0,562.183
0,1,1,0,1,0,0,1,0,0,0,0,1,716.033
0,1,0,0,0,0,1,0,1,0,1,0,0,262.567
0,0,0,0,0,1,1,1,0,0,0,1,0,380.84
0,1,1,0,1,0,1,0,0,1,0,0,1,715.747
0,0,0,1,1,1,0,0,0,1,0,1,0,482.817
1,0,1,0,1,1,0,0,0,1,0,0,1,561.933
0,1,0,0,0,1,1,1,0,0,1,0,0,260.38
1,0,1,0,0,0,1,0,1,0,0,0,1,589.74
1,0,1,1,1,0,0,1,0,0,0,1,0,545.017
0,0,1,1,1,1,1,1,0,0,0,1,0,482.083
1,0,1,1,0,1,1,0,1,0,0,1,0,432.77
1,0,1,0,0,0,1,0,0,1,0,1,0,427.797
0,0,1,1,0,0,0,0,1,0,0,0,1,744.893
1,0,1,1,1,1,0,0,1,0,0,0,1,651.49
1,0,0,1,1,1,1,0,0,1,0,1,0,463.5
1,1,1,1,1,1,0,0,1,0,0,1,0,455.68
0,0,0,0,0,1,1,0,0,1,0,1,0,383.89
1,1,0,0,0,1,0,1,0,0,1,0,0,244.433
0,1,1,1,1,0,1,0,1,0,1,0,0,299.627
0,1,0,0,1,1,1,0,0,1,1,0,0,295.683
1,0,1,1,1,0,1,1,0,0,0,0,1,783.493
0,1,0,0,0,1,0,0,1,0,0,0,1,509.37
0,0,0,0,1,1,1,0,1,0,0,0,1,580.627
1,0,0,0,1,0,1,0,0,1,0,0,1,687.033
1,0,0,0,1,1,1,0,0,1,1,0,0,287.063
1,0,0,1,1,0,1,0,1,0,1,0,0,291.577
1,0,1,0,1,0,0,1,0,0,0,1,0,494.257
1,0,1,1,0,0,1,0,0,1,0,1,0,495.45
0,0,1,1,0,0,1,0,0,1,1,0,0,279.083
0,0,1,1,0,1,0,0,0,1,0,1,0,449.383
0,1,0,0,0,1,0,1,0,0,0,0,1,507.247
0,1,0,0,1,1,0,0,1,0,0,1,0,428.383
1,1,1,1,1,1,0,1,0,0,1,0,0,279.153
0,0,0,0,0,1,0,0,0,1,1,0,0,272.13
0,1,1,0,0,1,1,0,1,0,1,0,0,262.277
1,0,1,0,1,0,1,0,0,1,0,0,1,690.39
0,0,1,0,1,1,0,1,0,0,0,1,0,432.773
0,1,0,0,1,0,1,1,0,0,0,1,0,511.48
1,0,1,1,1,1,1,0,0,1,1,0,0,291.237
0,0,1,0,0,0,1,0,1,0,0,1,0,446.6
1,0,0,0,1,0,0,0,1,0,0,0,1,687.6
1,1,1,1,1,0,1,1,0,0,0,1,0,536.95
0,0,0,0,1,1,0,1,0,0,1,0,0,305.26
1,1,1,1,0,0,0,1,0,0,1,0,0,249.363
1,1,1,1,0,1,1,0,0,1,0,1,0,428.157
1,1,1,1,0,0,1,0,1,0,0,1,0,487.057
0,1,1,0,1,0,0,0,0,1,0,1,0,513.523
0,1,0,1,1,0,0,0,1,0,0,1,0,562.677
1,1,1,1,0,1,0,0,0,1,0,1,0,428.263
0,0,0,1,0,1,0,0,0,1,0,1,0,450.157
1,0,0,0,1,0,1,1,0,0,0,0,1,687.093
1,1,0,1,0,1,1,0,0,1,0,1,0,429.257
1,1,1,1,1,1,1,0,1,0,1,0,0,279.193
1,1,1,1,1,1,1,0,0,1,0,0,1,644.033
0,0,0,1,0,0,1,1,0,0,1,0,0,275.92
0,0,0,0,1,0,1,0,0,1,0,1,0,518.96
1,1,0,0,1,1,1,0,1,0,0,0,1,556.307
1,1,0,1,0,0,1,0,1,0,0,0,1,705.213
1,1,0,0,0,0,1,0,0,1,0,0,1,581.717
0,0,1,1,0,0,0,0,0,1,0,1,0,518.8
1,0,0,0,0,1,1,0,0,1,1,0,0,257.877
1,0,1,0,0,0,0,0,1,0,0,1,0,427.07
1,0,1,0,0,0,0,0,0,1,0,1,0,428.027
0,0,1,1,0,0,0,1,0,0,1,0,0,275.427
1,1,0,0,1,1,0,0,0,1,0,1,0,408.683
0,1,0,0,0,0,0,0,1,0,1,0,0,262.563
1,0,0,0,1,1,1,1,0,0,0,0,1,561.96
1,1,0,1,1,0,1,0,0,1,0,0,1,773.463
1,0,0,0,0,1,0,0,0,1,0,0,1,499.27
1,1,1,1,0,0,0,0,1,0,1,0,0,251.573
1,0,0,1,0,0,1,0,0,1,1,0,0,264.287
1,0,1,0,0,0,0,0,1,0,1,0,0,256.333
1,0,1,1,0,1,0,1,0,0,0,1,0,431
1,1,0,0,0,1,1,0,1,0,0,0,1,492.937
0,1,1,1,0,0,1,1,0,0,0,1,0,506.93
1,0,1,0,0,0,0,1,0,0,0,0,1,588.673
1,0,1,1,1,1,0,0,1,0,1,0,0,291.173
0,1,1,0,0,1,1,1,0,0,1,0,0,259.84
